,unemployment,coincident,leading_price,ESI,export_price,current_account,GDP,land_price_change,CCSI,manufacturing_capacity_utilization,us_policy_rate,kosdaq_index,capital_account,us_industrial_production,us_consumer_sentiment,us_CPI,economic_growth_rate,interest_rate,pred,datetime
90,3.6,98.4,100.4,95.7,107.72,9367.2,460592.0,0.215,101.0,106.2,0.125,725.06,-29.9,0.6,93.1,0.1,1.5,1.5,1.05875,15-Jul
91,3.4,98.9,100.3,97.3,108.39,8119.4,460592.0,0.19,102.0,99.1,0.125,687.11,1.5,-0.2,91.9,0.1,1.5,1.5,1.52113,15-Aug
92,3.2,99.6,100.5,97.0,107.53,10600.3,460592.0,0.191,104.0,104.8,0.125,678.48,2.2,-0.3,87.2,0.1,1.5,1.5,1.53206,15-Sep
93,3.1,100.1,100.4,97.5,103.43,9561.0,486072.0,0.223,106.0,110.2,0.125,683.63,-5.4,-0.5,90.0,0.5,0.8,1.5,1.49634,15-Oct
94,3.0,99.9,100.3,97.1,102.31,9727.7,486072.0,0.242,107.0,107.0,0.125,688.38,18.8,-0.7,91.3,0.5,0.8,1.5,1.52925,15-Nov
95,3.2,99.9,100.0,94.0,102.38,8042.5,486072.0,0.251,103.0,107.9,0.375,682.35,0.2,-0.5,92.6,0.5,0.8,1.5,1.46931,15-Dec
96,3.7,99.5,99.7,93.9,102.78,7317.4,450099.0,0.173,101.0,100.7,0.375,682.8,-2.6,0.5,92.0,1.1,0.4,1.5,1.40266,16-Jan
97,4.9,99.5,99.4,92.8,103.6,7927.5,450099.0,0.17,98.0,92.9,0.375,651.62,-2.3,-0.5,91.7,1.1,0.4,1.5,1.39592,16-Feb
98,4.2,99.2,99.4,94.4,102.34,11122.8,450099.0,0.216,101.0,108.7,0.375,688.38,-3.2,-0.8,91.0,1.1,0.4,1.5,1.51089,16-Mar
99,3.9,99.2,99.3,97.1,99.33,4184.3,474127.0,0.214,102.0,103.5,0.375,699.77,-5.0,0.3,89.0,1.0,1.3,1.5,1.30958,16-Apr
100,3.6,99.5,99.4,95.4,101.72,10491.0,474127.0,0.221,100.0,107.0,0.375,698.45,1.0,-0.2,94.7,1.0,1.3,1.5,1.23356,16-May
101,3.6,99.7,99.3,95.1,101.88,12409.7,474127.0,0.246,99.0,108.4,0.375,675.09,-3.0,0.5,93.5,1.0,1.3,1.25,0.973925,16-Jun
102,3.5,99.9,99.4,96.2,99.71,8831.8,474405.0,0.244,102.0,105.1,0.375,706.24,5.8,0.1,90.0,1.1,0.4,1.25,0.972084,16-Jul
103,3.6,100.1,99.5,98.1,97.88,5410.1,474405.0,0.234,103.0,98.3,0.375,663.69,17.2,-0.1,89.8,1.1,0.4,1.25,1.04014,16-Aug
104,3.5,99.9,99.7,98.1,98.65,7517.5,474405.0,0.237,103.0,99.4,0.375,681.21,-9.1,-0.1,91.2,1.1,0.4,1.25,1.01659,16-Sep
105,3.3,99.8,99.8,96.6,101.97,7476.8,499920.0,0.252,103.0,104.9,0.375,624.68,-6.3,0.1,87.2,1.8,0.8,1.25,1.00751,16-Oct
106,3.1,100.1,100.0,96.3,105.85,7873.3,499920.0,0.242,96.0,109.1,0.375,596.11,-35.0,-0.4,93.8,1.8,0.8,1.25,0.998834,16-Nov
107,3.2,100.3,100.2,94.1,109.12,7361.5,499920.0,0.218,94.0,108.7,0.625,631.44,-3.7,0.7,98.2,1.8,0.8,1.25,0.855692,16-Dec
108,3.7,100.7,100.4,96.4,110.44,3401.7,465694.0,0.183,93.0,98.8,0.625,616.13,42.9,-0.2,98.5,2.5,1.1,1.25,1.2486,17-Jan
109,4.9,100.7,100.7,98.2,108.88,7438.6,465694.0,0.231,94.0,97.4,0.625,612.2,-2.0,-0.4,96.3,2.5,1.1,1.25,1.24546,17-Feb
110,4.1,100.9,100.9,100.7,107.44,5140.3,465694.0,0.321,97.0,109.9,0.875,619.28,-1.7,0.6,96.9,2.5,1.1,1.25,1.24798,17-Mar
111,4.2,101.0,101.1,100.3,108.17,3184.0,488383.0,0.315,102.0,103.6,0.875,628.24,-26.4,1.0,97.0,1.9,0.7,1.25,0.913739,17-Apr
112,3.6,101.1,101.2,101.3,106.88,4262.1,488383.0,0.387,109.0,104.6,0.875,652.04,-1.9,0.1,97.1,1.9,0.7,1.25,1.24022,17-May
113,3.8,101.1,101.4,100.7,106.62,7008.9,488383.0,0.391,113.0,105.4,1.125,669.04,-32.1,0.2,95.0,1.9,0.7,1.25,2.07626,17-Jun
114,3.4,101.0,101.5,99.9,107.82,7467.4,493866.0,0.391,113.0,104.3,1.125,650.47,17.1,-0.2,93.4,2.0,1.4,1.25,1.36103,17-Jul
115,3.6,101.1,101.7,101.1,108.43,6139.4,493866.0,0.347,111.0,100.0,1.125,657.83,-21.8,-0.5,96.8,2.0,1.4,1.25,1.47702,17-Aug
116,3.3,101.2,101.7,99.7,109.68,12337.7,493866.0,0.32,109.0,108.2,1.125,652.82,-1.2,0.1,95.1,2.0,1.4,1.25,1.48244,17-Sep
117,3.2,101.2,101.8,102.8,110.25,6890.0,515790.0,0.286,111.0,97.9,1.125,694.2,-7.4,1.2,100.7,2.1,-0.2,1.25,1.31966,17-Oct
118,3.1,101.4,101.7,102.8,108.53,7474.3,515790.0,0.32,114.0,106.9,1.125,771.42,38.8,0.3,98.5,2.1,-0.2,1.5,1.501,17-Nov
119,3.3,101.0,101.5,102.7,106.89,4486.5,515790.0,0.319,112.0,101.9,1.375,798.42,-31.1,0.2,95.9,2.1,-0.2,1.5,1.55687,17-Dec
120,3.7,101.0,101.5,100.1,106.65,2556.9,480607.0,0.325,112.0,102.4,1.375,913.57,-6.1,0.0,95.7,2.2,1.5,1.5,1.52198,18-Jan
121,4.6,101.1,101.5,101.6,107.95,3226.7,480607.0,0.308,110.0,90.5,1.375,857.06,-13.3,0.2,99.7,2.2,1.5,1.5,1.52344,18-Feb
122,4.5,101.0,101.5,98.4,106.42,5210.4,480607.0,0.351,110.0,106.4,1.625,871.09,1.7,0.5,101.4,2.2,1.5,1.5,1.50894,18-Mar
123,4.1,100.9,101.2,100.5,106.61,1490.4,504712.0,0.33,109.0,104.9,1.625,875.95,47.7,1.1,98.8,2.7,0.8,1.5,1.47862,18-Apr
124,4.0,100.8,101.2,102.5,108.45,8792.3,504712.0,0.345,110.0,107.0,1.625,879.66,11.8,-0.9,98.0,2.7,0.8,1.5,1.50446,18-May
125,3.7,100.8,101.0,100.5,109.3,7980.1,504712.0,0.37,107.0,106.1,1.875,818.22,-6.7,0.8,98.2,2.7,0.8,1.5,1.4647,18-Jun
126,3.7,100.7,100.9,96.2,112.03,8874.4,506698.0,0.403,102.0,105.4,1.875,775.52,-6.7,0.1,97.9,2.6,0.5,1.5,1.49014,18-Jul
127,4.0,100.5,100.5,97.3,111.98,8581.2,506698.0,0.42,100.0,102.3,1.875,816.97,-3.9,0.7,96.2,2.6,0.5,1.5,1.49719,18-Aug
128,3.6,100.2,100.4,99.8,112.2,11235.5,506698.0,0.427,101.0,98.7,2.125,822.27,73.3,0.0,100.1,2.6,0.5,1.5,1.4887,18-Sep
129,3.5,100.1,100.1,95.5,112.75,9473.6,534086.0,0.455,100.0,109.8,2.125,648.67,82.3,-0.2,98.6,2.2,0.6,1.5,1.56364,18-Oct
130,3.2,99.9,99.9,94.4,109.22,5130.6,534086.0,0.416,97.0,106.8,2.125,695.76,-9.5,0.1,97.5,2.2,0.6,1.75,1.75482,18-Nov
131,3.4,99.8,99.6,95.0,106.19,4914.4,534086.0,0.341,98.0,103.9,2.375,675.65,146.1,0.0,98.3,2.2,0.6,1.75,1.75972,18-Dec
132,4.5,99.9,99.5,92.2,104.74,2894.7,489587.0,0.314,99.0,101.6,2.375,716.86,-29.1,-0.7,91.2,1.6,0.1,1.75,1.75248,19-Jan
133,4.7,99.4,99.3,97.7,105.18,3308.2,489587.0,0.265,101.0,86.1,2.375,731.25,-15.0,-0.5,93.8,1.6,0.1,1.75,1.74657,19-Feb
134,4.3,99.3,99.4,96.8,105.38,4347.0,489587.0,0.3,101.0,103.1,2.375,729.31,5.4,0.0,98.4,1.6,0.1,1.75,1.75241,19-Mar
135,4.4,99.1,99.4,98.1,106.09,-527.4,516735.0,0.317,103.0,104.8,2.375,754.74,-19.5,-0.5,97.2,1.8,1.3,1.75,1.74981,19-Apr
136,4.0,99.4,99.1,94.5,108.79,4983.2,516735.0,0.33,99.0,106.9,2.375,696.47,-12.9,0.1,100.0,1.8,1.3,1.75,1.71952,19-May
137,4.0,99.4,98.9,95.1,106.38,6166.1,516735.0,0.323,99.0,103.7,2.375,690.53,-2.2,0.1,98.2,1.8,1.3,1.75,1.73644,19-Jun
138,3.9,99.5,98.6,92.3,106.01,6957.2,517950.0,0.337,97.0,108.8,2.375,630.18,-3.6,-0.5,98.4,1.8,0.2,1.5,1.50093,19-Jul
139,3.0,99.6,98.5,91.5,107.46,4983.5,517950.0,0.33,93.0,100.6,2.125,610.55,-0.7,0.8,89.8,1.8,0.2,1.5,1.49675,19-Aug
140,3.1,99.7,98.5,94.5,106.56,8014.3,517950.0,0.322,98.0,101.6,1.875,621.76,-60.4,-0.3,93.2,1.8,0.2,1.5,1.52516,19-Sep
141,3.0,99.8,98.9,93.4,104.36,8035.8,548710.0,0.336,100.0,108.7,1.625,658.52,-14.7,-0.9,95.5,2.0,1.0,1.25,1.26261,19-Oct
142,3.1,99.6,99.2,94.8,102.11,5876.6,548710.0,0.336,102.0,105.9,1.625,632.99,-4.6,0.6,96.8,2.0,1.0,1.25,1.25765,19-Nov
143,3.4,100.1,99.5,95.3,102.82,4636.9,548710.0,0.335,102.0,107.6,1.625,669.83,-12.0,-0.2,99.3,2.0,1.0,1.25,1.20808,19-Dec
144,4.1,100.3,99.5,98.0,102.12,184.5,495490.0,0.331,105.0,95.1,1.625,642.48,-18.5,-0.6,99.8,2.1,-1.3,1.25,1.18275,20-Jan
145,4.1,99.6,99.5,90.0,103.05,6708.2,495490.0,0.321,98.0,93.3,1.625,610.73,-3.6,0.3,101.0,2.1,-1.3,1.25,0.847296,20-Feb
146,4.2,98.4,99.1,68.6,101.41,5825.8,495490.0,0.269,79.0,107.3,0.125,569.07,-20.1,-4.0,89.1,2.1,-1.3,0.75,0.762344,20-Mar
147,4.2,97.3,98.8,61.3,99.22,-4023.8,503166.0,0.236,72.0,96.1,0.125,645.18,-3.2,-13.2,71.8,0.4,-2.7,0.75,0.956131,20-Apr
148,4.5,96.4,98.5,63.5,99.7,1942.1,503166.0,0.257,78.0,91.5,0.125,713.68,-155.0,1.6,72.3,0.4,-2.7,0.5,0.541839,20-May
149,4.3,96.5,98.7,68.2,100.28,7039.3,503166.0,0.299,83.0,99.0,0.125,737.97,-3.2,6.6,78.1,0.4,-2.7,0.5,0.497655,20-Jun
150,4.0,96.6,99.0,76.8,100.36,7225.9,513692.0,0.332,85.0,100.7,0.125,815.3,-33.3,3.6,72.5,1.2,2.2,0.5,1.75319,20-Jul
151,3.1,97.0,99.5,83.1,100.3,6589.0,513692.0,0.312,89.0,93.4,0.125,848.24,0.5,1.0,74.1,1.2,2.2,0.5,0.500573,20-Aug
152,3.6,97.4,99.8,77.4,100.26,10672.3,513692.0,0.303,80.0,106.2,0.125,848.15,-4.6,0.0,80.4,1.2,2.2,0.5,0.500038,20-Sep
